"","hostVar","bacteria","Phi2means","PhiNOmeans","PhiNPQmeans","vH.means","gH.means","ECStmeans","leaf_thicknessmeans","SPADmeans","Phi2se","PhiNOse","PhiNPQse","vH.se","gH.se","ECStse","leaf_thicknessse","SPADse"
"1","Alsen","A30",0.716222222222222,0.246555555555556,0.037,0.0585555555555556,158.608666666667,0.000373333333333333,0.357777777777778,51.8147777777778,0.0059249420479533,0.00277444244204084,0.00506074215022966,0.00503076952118745,14.0311922060181,2.53859103528797e-05,0.0308570979488863,3.29540303039189
"2","Norm","A30",0.697777777777778,0.250777777777778,0.0511111111111111,0.0553333333333333,167.878666666667,0.000331111111111111,0.376666666666667,63.0557777777778,0.00459098687580645,0.00507109942544179,0.00585577693024505,0.00512076383191241,15.2879621443729,1.91807516684801e-05,0.0138443731048635,3.16491486535393
"3","Alsen","NO",0.700117647058824,0.256117647058824,0.0438235294117647,0.0560588235294118,140.761176470588,0.000411764705882353,0.438823529411765,58.6255294117647,0.00314465273606638,0.00489288375282769,0.00528749585879246,0.00156588301586586,7.72883645513731,1.9875259785902e-05,0.0360950782140762,2.37122546208527
"4","Norm","NO",0.693777777777778,0.246722222222222,0.0594444444444444,0.0496666666666667,148.032111111111,0.000341666666666667,0.451666666666667,75.1623888888889,0.00391123365821083,0.00361352357826677,0.00368907787530704,0.00243342734172422,8.20039693798113,1.23471041298013e-05,0.0256961887766855,2.26325420771749
"5","Alsen","Q16",0.701,0.2505,0.04825,0.059375,138.451125,0.0004325,0.37625,54.840875,0.00486973158544551,0.00665475125648692,0.00607615362356342,0.0035149552933552,7.64113009694784,2.28152517909778e-05,0.037077982492502,3.85096319323166
"6","Norm","Q16",0.703666666666667,0.235666666666667,0.0606666666666667,0.0471111111111111,155.691888888889,0.000302222222222222,0.4,72.6823333333333,0.00567156650905785,0.00504975246918104,0.00464578662158878,0.00505372372185007,15.3292411681115,1.68965625841617e-05,0.0130170827931778,4.58860253478357
"7","Alsen","Q22",0.687111111111111,0.255444444444444,0.0578888888888889,0.055,127.286,0.00044,0.323333333333333,56.3101111111111,0.00691103072479151,0.00398647404464672,0.00634963788216052,0.0035,8.4586771112404,2.78886675511359e-05,0.0297209241668783,2.65130851050971
"8","Norm","Q22",0.70825,0.25,0.041625,0.063375,157.8465,0.00040875,0.43875,60.333625,0.00566867961446302,0.004551294949164,0.00691255973882737,0.00402198200962091,11.6095479947695,2.82487357492078e-05,0.0429467070083044,5.13790073493577
"9","Alsen","W14",0.702888888888889,0.257555555555556,0.0394444444444444,0.0583333333333333,144.213777777778,0.000411111111111111,0.308888888888889,49.3545555555556,0.00532667408333975,0.00608758096252597,0.00435287615998865,0.00234520787991172,8.07451237739568,1.821510701195e-05,0.0261642485318147,3.50783967275488
"10","Norm","W14",0.697444444444444,0.250666666666667,0.0521111111111111,0.05,152.335444444444,0.000331111111111111,0.43,69.2886666666667,0.00589281839546878,0.00448144321991625,0.00515171073108634,0.00516666666666667,12.9560007998344,2.74592852361275e-05,0.0272335577306137,3.44008044964068
"11","Alsen","Y108",0.698555555555555,0.252888888888889,0.0485555555555556,0.0544444444444444,136.553888888889,0.000404444444444444,0.366666666666667,58.218,0.00437197867456649,0.00607235183352574,0.00589281839546878,0.00225530923668716,8.08569302747562,1.74889735985524e-05,0.0271313676601662,2.79323201387449
"12","Norm","Y108",0.7025,0.24025,0.05725,0.0665,178.15375,0.00038125,0.41375,62.338,0.0072972597596632,0.00521929798235083,0.0073818067861853,0.00534856456043515,14.3266298758017,2.58731452061233e-05,0.0440753210830214,5.67860008528259
"13","Alsen","Y11",0.707777777777778,0.249,0.0432222222222222,0.0568888888888889,161.329222222222,0.000354444444444444,0.31,56.9995555555556,0.00482981992354034,0.00374165738677394,0.00341067677292685,0.00455657170238902,9.54260575550192,2.18651873935049e-05,0.0239791576165636,2.59430133557247
"14","Norm","Y11",0.696333333333333,0.248333333333333,0.0555555555555556,0.0581111111111111,153.889666666667,0.000385555555555556,0.4,62.4264444444444,0.00670613317957689,0.00450616861153193,0.00704176254591749,0.00385300908542216,11.4012450099881,2.45578178947782e-05,0.0183333333333333,4.00738057322261
"15","Alsen","Y2",0.701555555555555,0.251333333333333,0.0473333333333333,0.0535555555555556,152.382333333333,0.000358888888888889,0.333333333333333,65.0425555555556,0.00695443725479382,0.00484767985741633,0.00429793231940921,0.00268282143725548,8.82738600574623,2.09791195427769e-05,0.0208832734769028,3.06208224865546
"16","Norm","Y2",0.686125,0.249125,0.064875,0.045625,128.8215,0.00036875,0.43625,74.807625,0.00687240210656256,0.00343530774250493,0.00724676652031787,0.00374135909224748,15.8087030506255,2.03046001121491e-05,0.0451559796704711,4.54037415441212
